TADPOLE,Harvard-Oxford,AAL,Talairach,Atlas
ST54SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Left Cingulate Gyrus, anterior division",Cingulum_Ant_L,Anterior Cingulate,AAL
ST55SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Left Middle Frontal Gyrus,Frontal_Mid_L,Middle Frontal Gyrus,AAL
ST56SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Left Superior Frontal Gyrus,Frontal_Sup_L,Superior Frontal Gyrus,AAL
ST57SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Left Superior Parietal Lobule,Parietal_Sup_L,Superior Parietal Lobule,AAL
ST58SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Left Superior Temporal Gyrus, anterior division+Left Superior Temporal Gyrus, posterior division",Temporal_Sup_L,Superior Temporal Gyrus,AAL
ST59SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Left Supramarginal Gyrus, anterior division+Left Supramarginal Gyrus, posterior division",SupraMarginal_L,Supramarginal Gyrus,AAL
ST60SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Left Temporal Pole,Temporal_Pole_Mid_L,Brodmann area 38,Talairach
ST62SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Brodmann area 41+Brodmann area 42,Talairach
ST64SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST72SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST73SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Right Cingulate Gyrus, anterior division",Cingulum_Ant_R,Anterior Cingulate,AAL
ST74SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Right Middle Frontal Gyrus,Frontal_Mid_R,Middle Frontal,AAL
ST81SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Corpus Callosum,Talairach
ST82SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Right Cuneal Cortex,Cuneus_R,Cuneus,AAL
ST83SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Brodmann area 28,Talairach
ST84SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Right Frontal Pole,nan,Brodmann area 10,Talairach
ST85SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Right Occipital Fusiform Gyrus,Fusiform_R,Brodmann area 37,AAL
ST86SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST90SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Parietal_Inf_R,Inferior Parietal Lobule,AAL
ST91SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Right Inferior Temporal Gyrus, temporooccipital part",Temporal_Inf_R,Inferior Temporal Gyrus,AAL
ST93SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Right Cingulate Gyrus, anterior division+Right Cingulate Gyrus, posterior division",nan,Brodmann area 29,Talairach
ST94SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Right Lateral Occipital Cortex, superior division+Right Lateral Occipital Cortex, inferior division",Occipital_Mid_R,Middle Occipital Gyrus,AAL
ST95SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Right Frontal Orbital Cortex,Frontal_Mid_Orb_R,Orbital Gyrus,AAL
ST97SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Right Lingual Gyrus,Lingual_R,Lingual Gyrus,AAL
ST98SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Right Frontal Orbital Cortex,Frontal_Med_Orb_R,Orbital Gyrus,AAL
ST99SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Right Middle Temporal Gyrus, anterior division+Right Middle Temporal Gyrus, posterior division+Right Middle Temporal Gyrus, temporooccipital part",Temporal_Mid_R,Middle Temporal Gyrus,AAL
